,rule,type,coef,support,importance
22,vel y > 0 and angleVel <= 0,rule,-0.1779662243206456,0.19328,0.07027364123741957
82,pos y <= 0 and vel y <= 0,rule,0.21746835845120221,0.18656,0.08471651953216675
57,vel x > 0 and vel y <= 0 and angleVel <= 0,rule,-0.04170242030838662,0.18592,0.016223997066143536
117,pos x > 0 and vel x > 0 and vel y <= -0.33827,rule,0.01336416881856792,0.18016,0.00513612626237183
97,pos y <= 1 and vel y <= 0 and contact_2 <= 0,rule,-0.12050467820382132,0.1728,0.04555971925769724
24,pos x <= 0 and vel x > 0 and vel y > 0 and angleVel > 0,rule,0.016953434518398022,0.1664,0.006314125462508977
17,vel y > 0 and angle > 0 and angleVel <= 0,rule,-0.08012029416930305,0.1632,0.029608298339234243
128,pos x > 0 and vel x > 0 and vel y <= 0 and angleVel > 0,rule,0.06852320201892104,0.15008,0.0244730492356048
61,vel x <= 0 and vel y > 0 and angleVel <= 0,rule,-0.0570707457228556,0.14688,0.020202259296263493
74,vel x <= 0 and vel y > 0,rule,0.11548434660111975,0.14464,0.04062017560782937
28,vel x > 0 and vel y > 0,rule,0.08300649659297658,0.14432,0.029169637695395087
21,pos x > 0 and pos y > 0 and vel y > 0 and angleVel <= 0,rule,-0.041108848359220525,0.14432,0.014446221222820061
14,pos y <= 0 and vel x > 0 and vel y > 0,rule,-0.2737445753451734,0.13536,0.09365012385841498
48,pos x <= 0 and vel x > 0.05994 and vel y > 0 and contact_2 <= 0,rule,-0.17727733320573022,0.13504,0.06058741683900535
18,vel x > 0 and vel y > 0 and angle <= 0,rule,-0.07536866412678889,0.13056,0.025393098467855764
39,pos x > 0,rule,-0.05630578583150913,0.12832,0.018831232279124206
31,vel x > 0 and vel y > 0 and angle <= 0,rule,-0.2584051142311995,0.12672,0.08596079905912836
36,vel y > 0 and angleVel <= 0,rule,-0.07511769402045076,0.12288,0.024661094969961005
126,vel x <= 0,rule,-0.05918779419369961,0.12064,0.01927796434218113
110,pos x > 0 and vel x > 0.05994 and vel y > 0 and contact_2 <= 0,rule,0.02562408306775511,0.11936,0.008307626109039895
129,vel y <= -0.42268,rule,-0.005589008097895008,0.11744,0.0017993468181113721
27,vel y > 0 and angle <= 0 and angleVel <= 0 and angleVel > 0,rule,-0.19792839414409585,0.10848,0.061552895109708745
33,vel x <= 0 and vel x > 0.00882 and vel y > 0 and contact_2 <= 0,rule,-0.1152937742812954,0.10656,0.035574242288190144
80,vel y > 0 and angleVel > 0,rule,0.12086620009633485,0.10432,0.03694580180639306
29,vel x > 0 and vel y > 0,rule,-0.002562905135699812,0.10432,0.000783416580621231
44,pos x <= 0 and pos y > 0,rule,-0.16686385657043945,0.09632,0.049229774800796273
26,vel x > 0 and vel y > 0 and angleVel <= 0,rule,-0.01781532928960543,0.09568,0.005240412878699404
52,pos y > 0 and vel y > 0.0,rule,-0.03023817582861124,0.09536,0.008881301275419706
55,pos x <= 0 and vel y <= 0,rule,-0.05228238357750784,0.08544,0.014614773877866973
114,pos x > 0 and vel x > 0 and vel y <= 0 and angle <= 0 and angleVel > 0,rule,-0.10633499590962714,0.08096,0.02900538773758915
19,vel x <= 0 and vel x > 0 and vel y > 0,rule,-0.12446754001385034,0.07712,0.03320566895184319
54,pos x <= 0 and angleVel > 0,rule,-0.09896776666928521,0.07392,0.025893991531871892
141,pos y > 0 and vel x <= 0,rule,-0.0851176652657934,0.0656,0.02107356626637858
135,pos y <= 0 and vel y > 0.0,rule,0.30572340660647784,0.06464,0.07517419062676238
134,pos y > 1 and vel y <= 0 and contact_2 <= 0,rule,0.04862863735259353,0.06432,0.011929679916326569
34,pos x <= 0 and vel y > 0,rule,-0.029913162732258025,0.06368,0.007304256421458271
35,pos y <= 0 and angleVel <= 0,rule,-0.03343952201075447,0.06144,0.008030021075172327
73,vel x <= 0 and vel y > 0,rule,0.1819140470954121,0.0608,0.043470743424055436
30,pos x <= 0 and vel x > 0 and vel y <= 0,rule,-0.08443766189378187,0.05632,0.019466142468114168
118,vel x <= 0 and vel y > 0,rule,0.07302967352527903,0.05568,0.016745902812002857
143,vel x <= 0 and vel y > 0 and angleVel > 0,rule,0.1657722052173944,0.05472,0.03770205249644801
51,pos y > 0 and vel y > 0 and angleVel <= 0,rule,-0.2876983418074193,0.05312,0.06452289777923809
23,vel y <= 0 and vel y > 0,rule,-0.34859136260052875,0.0512,0.07683143425031624
78,pos y > 0 and vel y > 0 and angleVel <= -0.12456,rule,0.3132228114902925,0.0496,0.06800603201014656
11,pos y > 0 and vel x <= 0 and vel y > 0 and angleVel <= 0 and angleVel > 0,rule,-0.23109809715230922,0.0416,0.046144127359672514
138,pos x > 0 and vel x > 0 and vel y <= 0 and angle > 0 and angleVel > 0,rule,0.0936812741665243,0.04064,0.01849781544119834
140,vel x <= 0 and angleVel > 0,rule,0.23183631661110365,0.03968,0.04525590840757139
41,pos x <= 0 and vel y <= 0 and vel y > 0 and angleVel > 0.00017,rule,-0.4468108109439356,0.03904,0.08654285782960162
102,vel y <= 0.0 and vel y > 0 and angle <= 0 and angleVel <= 0,rule,0.7006058741258601,0.03776,0.13354618014409053
131,vel y > 0 and angleVel > 0,rule,0.02825624880002019,0.03712,0.0053420084756396575
16,pos x <= 0 and vel x > 0 and vel y > 0 and angleVel <= 0,rule,-0.029624048981570665,0.03456,0.005411204265656717
132,pos y <= 0 and vel y > 0,rule,0.005778824539397273,0.03296,0.0010317045099343524
137,vel y > 0 and angleVel > 0,rule,0.06373332464133415,0.032,0.011217065136874808
147,vel y <= 0 and vel y > 0 and angle > 0 and angleVel <= 0,rule,0.3334310537861013,0.0288,0.05576434760929678
20,vel x > 0 and vel y > 0,rule,-0.08459366812523841,0.02688,0.013681562178994425
42,pos x <= 0 and vel x > 0 and vel y <= 0 and vel y > 0.0 and angle <= 0,rule,0.016477417923054627,0.02336,0.002488816228980387
142,vel x <= 0 and vel y > 0 and angleVel > 0,rule,0.6066873768726445,0.02304,0.09102162559882923
145,vel x <= 0 and vel y > 0 and angleVel > 0,rule,-0.061115822370417155,0.02304,0.009169238909568438
139,pos y > 0 and vel y > 0 and angleVel > 0,rule,0.13516907930039493,0.01984,0.018849362954792954
38,pos x <= 0 and vel y <= 0,rule,-0.004155031885359096,0.0192,0.0005701842329794834
148,vel x <= 0,rule,0.24932631270300357,0.01728,0.03249038672923476
152,pos x > 0 and pos y <= 0 and vel x <= 0 and vel y > 0 and angleVel <= 0,rule,0.7522852344350548,0.0144,0.08962189678115283
146,vel x <= 0 and vel y <= 0,rule,0.05097837433797412,0.01344,0.005870125251185088
133,vel y > 0 and angle > 0 and angleVel <= 0,rule,0.022878494687547487,0.01312,0.002603313902279032
10,pos x > 0 and pos y > 1 and vel x <= 0 and vel x > 0 and vel y > 0 and contact_2 <= 0,rule,-0.0921569090404201,0.0128,0.01035942041101253
136,pos x > 0 and vel y <= 0.0 and vel y > 0 and angleVel > 0.00017,rule,0.27139502137001903,0.01216,0.02974486264636828
8,pos x <= 0 and vel x > 0 and vel y <= 0 and vel y > 0 and angle > 0,rule,-0.5856122292389705,0.0096,0.057101967143174975
130,pos x <= 0 and pos y > 0 and vel x > 0 and vel y <= -0.36664,rule,0.16649328806060004,0.00864,0.015408816998871122
37,pos y > 1 and vel x <= 0 and vel y <= 0,rule,-0.15618233290761707,0.00832,0.014186633396028082
144,vel y <= 0 and vel y > 0 and angleVel > 0,rule,0.08040232185961847,0.00832,0.007303247705273794
149,pos x <= 0 and vel x <= 0 and vel y > 0 and angleVel > 0,rule,-0.08578355142019999,0.008,0.00764196160823018
12,vel y <= 0 and vel y > 0.04113 and angle <= 0 and angleVel <= 0,rule,-0.2527011257562013,0.00736,0.021599414048940474
15,pos x <= 0 and vel y <= 0,rule,-0.16363266528500395,0.00672,0.013368740284780193
151,vel y <= 0 and vel y > 0 and angleVel <= 0 and angleVel > 0,rule,0.0197557238355403,0.00608,0.0015357497420276619
9,pos x <= 0 and vel y <= 0 and angleVel > 0,rule,-0.10564503945670665,0.00512,0.0075399669168765195
13,pos x > 0 and vel y <= 0 and vel y > 0.02745 and angleVel > 0.00017,rule,-0.9244935809322041,0.00288,0.04954203680212864
150,pos y <= 0 and vel y <= 0 and vel y > 0 and angle > 0 and angleVel <= 0,rule,0.4104563719890591,0.00256,0.020741032645900746
