,rule,type,coef,support,importance
5,rm,linear,0.18497334143330238,1.0,0.12204360393910933
7,dis,linear,-0.37347145864575343,1.0,0.7804632493440843
8,rad,linear,0.060499761409534156,1.0,0.527527492151518
10,ptratio,linear,-0.31264850575540454,1.0,0.6966572757537113
6,age,linear,-0.02299687039656796,1.0,0.6471224713349016
64,rm <= 7,rule,-1.1598980676431598,0.8870056497175142,0.3672073645081433
78,rm <= 7,rule,-0.011491763942000603,0.8870056497175142,0.0036381303395618585
75,rm <= 7,rule,-0.33018518446956996,0.884180790960452,0.1056619004049473
63,rm <= 6,rule,-0.04456600487989702,0.8559322033898306,0.0156497298044547
55,rm <= 6,rule,-0.3086224749510901,0.8163841807909604,0.11948953949025289
77,lstat > 7,rule,-0.2616100785947338,0.7033898305084746,0.11949384404256835
71,lstat > 7,rule,-2.0374114019017497,0.6892655367231638,0.9429023670381736
56,lstat > 9,rule,-0.29657150714642516,0.5734463276836158,0.14667721483235016
62,lstat > 10,rule,-0.5841166648849757,0.5621468926553672,0.28979355472182744
49,nox > 0 and rm <= 6,rule,-0.17259849134464675,0.5310734463276836,0.08613243040829606
43,lstat > 11 and rm <= 6,rule,-0.35226388060575436,0.4774011299435028,0.1759519440213964
53,nox > 0 and rm <= 6,rule,-0.6430775373793672,0.4774011299435028,0.3212101753487113
90,lstat <= 14 and lstat > 5 and rm <= 7,rule,-0.0603081644704073,0.4632768361581921,0.03007264122257768
57,lstat > 12 and rm <= 6,rule,-0.01671091442269338,0.4491525423728814,0.008312139457021018
101,lstat <= 9,rule,0.015992736428662325,0.4265536723163842,0.00790962712323503
87,lstat <= 14 and lstat > 4 and rm <= 6 and tax > 223,rule,-0.7302084186692641,0.4265536723163842,0.36114371919303023
84,lstat <= 14 and rm <= 6.0 and dis > 1 and tax > 222,rule,-0.9370918505308604,0.3983050847457627,0.4587523025434219
95,lstat <= 11 and rm <= 6 and rm > 5,rule,-0.3452793625480112,0.3587570621468927,0.16560831875474652
46,lstat > 14 and rm <= 6,rule,-1.7868809661360114,0.3559322033898305,0.8555493324814235
51,crim > 0 and lstat > 7,rule,-0.23181354535227927,0.3333333333333333,0.1092779532596613
