,rule,type,coef,support,importance
86,pos y > 0 and vel x > 0.02366 and vel y <= 0 and vel y > 0 and angle <= 0 and angle > 0 and angleVel <= 0,rule,-0.09862748276973646,0.13568,0.03377482812562074
20,pos y <= 0 and vel x > 0 and vel y > 0,rule,-0.13927979347973873,0.13536,0.04764868817548232
51,vel y <= 0 and vel y > 0 and angleVel <= 0.0 and angleVel > 0,rule,-0.02158364750031978,0.13216,0.007309618083555068
39,vel x > 0 and vel y > 0 and angle <= 0,rule,-0.08915615697525432,0.13056,0.030038360097237603
96,vel x <= 0 and vel x > 0 and vel y > 0 and angleVel > 0.00014,rule,-0.04997541162969475,0.12928,0.0167672296140817
53,vel x > 0 and vel y > 0 and angle <= 0,rule,-0.19522718636300954,0.12672,0.06494408977840363
74,pos y > 0 and vel x > 0.02081 and vel y <= 0 and vel y > 0 and angle <= 0,rule,-0.09307419770612847,0.12384,0.030658541038210696
166,vel y <= -0.41687,rule,-0.1216046722584879,0.1232,0.039967398993454605
36,pos y > 0 and vel y <= 0 and vel y > 0 and angle <= 0 and angleVel <= 0 and angleVel > 0,rule,-0.104736757845628,0.1184,0.033838473876366106
43,pos y <= 0 and vel x > 0 and vel y > 0,rule,-0.10579840818132569,0.11744,0.03406114748590451
104,vel x <= 0 and vel y <= -0.00624 and vel y > 0 and angleVel > 0,rule,-0.017056899529892346,0.11616,0.0054653152669239605
121,pos y <= 0.06256 and pos y > 0 and vel x > 0 and vel y <= 0 and vel y > 0 and angle > 0 and angleVel > 0.0,rule,0.0766521058978097,0.11136,0.02411302137295126
56,pos y <= 1.0 and pos y > 0 and vel y > 0.0 and angle <= 0.0,rule,-0.2764657644658795,0.10656,0.08530434666405477
54,vel x <= 0 and vel x > 0.00882 and vel y > 0 and contact_2 <= 0,rule,-0.01880862102430521,0.10656,0.005803456826670406
123,pos y > 0.04815 and vel x > 0.01797 and vel y > 0 and angle > 0,rule,-0.09427981572165148,0.1056,0.028974541969971956
58,pos y <= 1 and pos y > 0.07667 and vel x > 0 and vel y > 0 and angleVel > 0,rule,-0.051896445479650014,0.10464,0.01588493063238633
146,pos y <= 0.40847 and vel y <= 0,rule,-0.012749117421786303,0.1008,0.0038382966436076573
60,vel x <= 0 and vel y <= 0 and vel y > 0 and angleVel <= -0.02145 and angleVel > 0,rule,-0.17009921804761932,0.09792,0.050554584651678
81,pos y <= 1 and pos y > 0 and vel y <= 0 and vel y > 0,rule,-0.05745749941906814,0.096,0.0169264761294279
90,vel x <= 0 and vel y > 0 and contact_1 <= 0,rule,-0.14582556886378403,0.09152,0.04204838988133369
63,pos y > 0 and vel x > 0 and vel y <= 0 and vel y > 0,rule,-0.18769935977210683,0.08768,0.0530868137166645
45,vel y > 0 and angle <= 0 and angleVel > 0,rule,-0.09921308216367178,0.08768,0.028060332317988358
137,pos y > 0 and vel x <= 0 and vel y <= 0.0 and vel y > 0 and angle <= 0,rule,0.21147867772379822,0.08416,0.05871232160134054
47,pos y > 0 and vel x > 0 and vel y <= 0 and vel y > 0 and angleVel <= 0,rule,-0.059313642226497224,0.08192,0.016266339349229043
91,pos y > 0 and vel x <= 0 and vel x > 0 and vel y <= 0 and vel y > 0,rule,0.008716481201487302,0.0816,0.0023861745796280483
71,vel y > 0.00602 and contact_1 <= 0,rule,-0.07916447997393038,0.08096,0.02159398622293617
