,rule,type,coef,support,importance
96,vel x <= 0 and vel y > 0 and angleVel <= 0,rule,-0.03260117435621646,0.1248,0.010774427213533702
169,vel y <= -0.41687,rule,-0.13941134013371312,0.1232,0.04581985668685858
43,pos y > 0 and vel y <= 0 and vel y > 0 and angle <= 0 and angleVel <= 0 and angleVel > 0,rule,-0.0718213847174475,0.1184,0.023204136737818983
171,pos y <= 1 and pos y > 1 and vel y <= 0,rule,0.18375742645025445,0.11776,0.05922937781989874
46,pos y <= 0 and vel x > 0 and vel y > 0,rule,-0.14058833180814684,0.11744,0.04526154964739629
78,pos y > 0 and vel x <= 0 and vel y > 0.0 and angleVel <= 0.0,rule,-0.034701921325391405,0.1168,0.011145626167833031
100,pos y > 0 and vel y <= 0 and vel y > 0 and angleVel > 0.00214,rule,-0.14136021402834092,0.11168,0.04452455798668703
51,vel y > 0 and angleVel <= 0 and angleVel > 0,rule,0.0030119371280656936,0.11072,0.0009451009574948609
112,pos y > 0 and vel x <= 0 and vel x > 0 and vel y <= 0 and vel y > 0,rule,-0.06467547999619194,0.11072,0.02029420119738553
144,pos y <= 0.0 and vel y <= -0.16285,rule,0.06372657937855898,0.11072,0.019996450333353278
150,pos y > 0 and vel x <= 0 and vel x > 0 and vel y <= 0 and vel y > 0 and angle <= 0 and angleVel <= 0,rule,0.11925826775084288,0.10912,0.03718350116429745
56,pos y > 0 and vel x > 0 and vel y <= 0.0 and vel y > 0 and angleVel <= 0,rule,-0.09614309592803158,0.10752,0.029782556681198252
154,vel x > 0.21716 and vel y <= 0 and vel y > 0 and angle > 0,rule,0.04754573636785169,0.10688,0.014689760254988393
146,pos y > 0 and vel x > 0 and vel y <= -0.02075 and vel y > 0 and angle <= 0 and angleVel <= 0,rule,0.06248064973712629,0.10656,0.019278593193151044
66,pos y <= 1.0 and pos y > 0 and vel y > 0.0 and angle <= 0.0,rule,-0.2241230616114287,0.10656,0.06915384760224148
71,vel x <= 0 and vel y > 0 and angleVel <= -0.02145 and angleVel > 0,rule,-0.11797858089789387,0.09856,0.03516591548589915
82,vel x > 0 and vel y <= 0 and angle > 0 and angleVel <= 0,rule,-0.00848479744868409,0.09696,0.002510679499650583
86,pos y <= 1 and pos y > 0 and vel y <= 0 and vel y > 0,rule,-0.056458834203763734,0.096,0.016632278103077134
63,vel y > 0 and angleVel <= 0 and angleVel > 0,rule,-0.06180042911467723,0.08896,0.01759371694166689
47,vel y > 0 and angle <= 0 and angleVel > 0,rule,-0.05270714972095574,0.08768,0.014907108059238726
