pos x,pos y,vel x,vel y,angle,angleVel,contact_1,contact_2,action
-0.007577133364975452,1.408558964729309,-0.7674955129623413,-0.10496985167264938,0.008786764927208424,0.1738491952419281,0.0,0.0,3.0
-0.015079689212143421,1.4056168794631958,-0.7570501565933228,-0.13081388175487518,0.015491269528865814,0.13410338759422302,0.0,0.0,3.0
-0.02251720428466797,1.4020885229110718,-0.7488563656806946,-0.15687841176986694,0.020541109144687653,0.1010063886642456,0.0,0.0,3.0
-0.02987518347799778,1.3979690074920654,-0.7388699054718018,-0.18313270807266235,0.023582175374031067,0.06082691624760628,0.0,0.0,3.0
-0.03714494779706001,1.3932416439056396,-0.7278200387954712,-0.21012279391288757,0.024409176781773567,0.01654166914522648,0.0,0.0,3.0
-0.044339559972286224,1.3879077434539795,-0.7183831334114075,-0.23705483973026276,0.023347176611423492,-0.02124197408556938,0.0,0.0,3.0
-0.051447391510009766,1.3819736242294312,-0.7075091600418091,-0.26368311047554016,0.020106198266148567,-0.0648256316781044,0.0,0.0,3.0
-0.058490850031375885,1.3754322528839111,-0.6994348764419556,-0.2906739115715027,0.015252443961799145,-0.09708397090435028,0.0,0.0,3.0
-0.06544971466064453,1.368289828300476,-0.688833475112915,-0.31738021969795227,0.008277548477053642,-0.1395106017589569,0.0,0.0,1.0
-0.07247505336999893,1.3605408668518066,-0.6971820592880249,-0.3443776071071625,0.0029831419233232737,-0.1058981642127037,0.0,0.0,3.0
-0.07940912246704102,1.352197289466858,-0.685728132724762,-0.3708333373069763,-0.004604963585734367,-0.15177617967128754,0.0,0.0,1.0
-0.08640356361865997,1.3432481288909912,-0.6933119893074036,-0.39777106046676636,-0.010666195303201675,-0.12123558670282364,0.0,0.0,1.0
-0.09347772598266602,1.333691120147705,-0.7033188343048096,-0.4247855544090271,-0.014719787053763866,-0.08107899129390717,0.0,0.0,3.0
-0.10047845542430878,1.3235247135162354,-0.6941095590591431,-0.45191487669944763,-0.020619211718440056,-0.11799924075603485,0.0,0.0,1.0
-0.10753927379846573,1.3127598762512207,-0.701645016670227,-0.4785052239894867,-0.02500232867896557,-0.08767043799161911,0.0,0.0,3.0
-0.11451482772827148,1.3013941049575806,-0.6909698247909546,-0.5052669644355774,-0.03152300417423248,-0.1304251253604889,0.0,0.0,1.0
-0.12156839668750763,1.2894434928894043,-0.7007611989974976,-0.5312477350234985,-0.03606811538338661,-0.09091055393218994,0.0,0.0,2.0
-0.1286669671535492,1.277647852897644,-0.7049694657325745,-0.5243725180625916,-0.04091129079461098,-0.09687204658985138,0.0,0.0,2.0
-0.13590268790721893,1.2664319276809692,-0.7178823351860046,-0.498649537563324,-0.046546466648578644,-0.11271356046199799,0.0,0.0,2.0
-0.143140509724617,1.255528211593628,-0.7179437875747681,-0.4848056435585022,-0.052323415875434875,-0.11554950475692749,0.0,0.0,2.0
-0.1503642052412033,1.244912028312683,-0.7164582014083862,-0.47204339504241943,-0.058180078864097595,-0.11714343726634979,0.0,0.0,2.0
-0.15742865204811096,1.235002875328064,-0.7010430097579956,-0.440628319978714,-0.06353309005498886,-0.10707012563943863,0.0,0.0,2.0
-0.1645091027021408,1.2253469228744507,-0.7023937106132507,-0.4293994903564453,-0.0691291093826294,-0.11193017661571503,0.0,0.0,2.0
-0.17168931663036346,1.2163852453231812,-0.711628258228302,-0.39861002564430237,-0.07546452432870865,-0.12671957910060883,0.0,0.0,2.0
-0.17877988517284393,1.2074432373046875,-0.7029463648796082,-0.397746741771698,-0.08153020590543747,-0.12132462114095688,0.0,0.0,2.0
-0.18587712943553925,1.1987613439559937,-0.7037343382835388,-0.386197566986084,-0.08747130632400513,-0.11882983148097992,0.0,0.0,2.0
-0.1928541213274002,1.1908156871795654,-0.6915265321731567,-0.3535148799419403,-0.0935903936624527,-0.12238174676895142,0.0,0.0,2.0
-0.1996316909790039,1.183793306350708,-0.6720593571662903,-0.3124709725379944,-0.09922949969768524,-0.11278239637613297,0.0,0.0,1.0
-0.2064996212720871,1.17618989944458,-0.6834368705749512,-0.33816301822662354,-0.10256481915712357,-0.06670621037483215,0.0,0.0,2.0
-0.21321626007556915,1.1686469316482544,-0.6687934398651123,-0.33543911576271057,-0.10541249066591263,-0.05695361644029617,0.0,0.0,2.0
-0.2199709415435791,1.1614421606063843,-0.672116219997406,-0.3204522132873535,-0.10873901844024658,-0.06653039157390594,0.0,0.0,2.0
-0.22651024162769318,1.154526948928833,-0.6512773036956787,-0.3075401484966278,-0.11137322336435318,-0.05268413573503494,0.0,0.0,2.0
-0.23279723525047302,1.148223638534546,-0.6267982721328735,-0.2802862524986267,-0.11326339840888977,-0.037803709506988525,0.0,0.0,3.0
-0.2390124797821045,1.1413030624389648,-0.6177775859832764,-0.30786842107772827,-0.11698764562606812,-0.07448475062847137,0.0,0.0,2.0
-0.24507641792297363,1.1347815990447998,-0.6029840111732483,-0.29011300206184387,-0.1203763484954834,-0.0677739828824997,0.0,0.0,2.0
-0.25117844343185425,1.128641963005066,-0.606256365776062,-0.27319568395614624,-0.12430312484502792,-0.07853539288043976,0.0,0.0,2.0
-0.25733131170272827,1.123265027999878,-0.6105841398239136,-0.23937028646469116,-0.12898340821266174,-0.09360557794570923,0.0,0.0,2.0
-0.26332172751426697,1.1179912090301514,-0.5948073863983154,-0.23476997017860413,-0.1331973671913147,-0.08427906036376953,0.0,0.0,2.0
-0.26913031935691833,1.1129957437515259,-0.5771051049232483,-0.22236157953739166,-0.13693776726722717,-0.07480791956186295,0.0,0.0,2.0
-0.2748734951019287,1.108013391494751,-0.570602536201477,-0.22177867591381073,-0.14063625037670135,-0.07396925985813141,0.0,0.0,2.0
-0.28059664368629456,1.1038812398910522,-0.5680684447288513,-0.18405981361865997,-0.14486922323703766,-0.08465953171253204,0.0,0.0,2.0
-0.28612542152404785,1.1004602909088135,-0.5489441156387329,-0.15243777632713318,-0.14879631996154785,-0.078542061150074,0.0,0.0,2.0
-0.2917010188102722,1.097350835800171,-0.5529981851577759,-0.13865870237350464,-0.15335379540920258,-0.0911494642496109,0.0,0.0,2.0
-0.29719582200050354,1.0948662757873535,-0.5447105169296265,-0.11092332750558853,-0.15811829268932343,-0.09528983384370804,0.0,0.0,0.0
-0.3026905953884125,1.0917820930480957,-0.5447109341621399,-0.1375918686389923,-0.16288277506828308,-0.0952896848320961,0.0,0.0,2.0
-0.30811095237731934,1.0893436670303345,-0.5369933247566223,-0.10893753170967102,-0.1679302603006363,-0.10094983875751495,0.0,0.0,0.0
-0.3135313093662262,1.0863054990768433,-0.5369939208030701,-0.1356062889099121,-0.1729777455329895,-0.10094965994358063,0.0,0.0,2.0
-0.3186620771884918,1.0839678049087524,-0.5086649656295776,-0.10441894829273224,-0.1773960143327713,-0.08836536109447479,0.0,0.0,2.0
-0.32383042573928833,1.081799030303955,-0.511845052242279,-0.09699209779500961,-0.1824035495519638,-0.10015071928501129,0.0,0.0,2.0
-0.328756183385849,1.0795482397079468,-0.48840245604515076,-0.10055379569530487,-0.18659789860248566,-0.08388666808605194,0.0,0.0,2.0
-0.33360132575035095,1.0778629779815674,-0.4800416827201843,-0.0754682794213295,-0.19109193980693817,-0.08988077193498611,0.0,0.0,2.0
-0.3385131359100342,1.076222538948059,-0.48603326082229614,-0.07357826083898544,-0.19626562297344208,-0.10347376018762589,0.0,0.0,2.0
-0.343300998210907,1.0752309560775757,-0.47346386313438416,-0.044791121035814285,-0.20162783563137054,-0.10724425315856934,0.0,0.0,0.0
-0.3480888903141022,1.0736395120620728,-0.47346457839012146,-0.07146016508340836,-0.20699003338813782,-0.1072440892457962,0.0,0.0,2.0
-0.35264891386032104,1.0723708868026733,-0.4511285424232483,-0.05707358568906784,-0.21190571784973145,-0.09831372648477554,0.0,0.0,2.0
-0.35720521211624146,1.0715160369873047,-0.45012766122817993,-0.03879803419113159,-0.21746130287647247,-0.11111180484294891,0.0,0.0,2.0
-0.3617452085018158,1.0714116096496582,-0.4476923942565918,-0.005582382902503014,-0.22384107112884521,-0.12759527564048767,0.0,0.0,0.0
-0.36628517508506775,1.0707076787948608,-0.44769349694252014,-0.032252389937639236,-0.23022079467773438,-0.12759491801261902,0.0,0.0,2.0
