pos x,pos y,vel x,vel y,angle,angleVel,contact_1,contact_2,action
-0.396587133,1.144400716,-0.025944587,-0.041372322,-0.468191743,-0.061368577,0,0,1
0.002982521,0.015193758,0.037515737,0.005663455,0.077687696,-0.023639027,0,0,0
0.032865714,0.001239583,-0.109233633,-0.063223332,-0.011485583,-0.112342343,0,0,2
0.013364506,0.06948217,0.050479822,-0.03528801,0.031515736,-0.012849465,0,0,0
-0.446172625,1.190424919,-0.385472476,-0.047631558,-0.237963378,-0.054582756,0,0,2
0.003044319,0.034964286,0.024851102,-0.041708343,-0.009326889,0.029461622,0,0,2
-0.337207705,1.275089264,-0.168358639,-0.018461969,-0.361452937,-0.109383717,0,0,2
0.011708451,0.018326292,0.014021777,-0.016620943,-0.014447687,0.014010872,0,0,0
-0.073707774,0.202945173,0.281147778,-0.228670135,0.074963339,0.019923888,0,0,2
-0.424465269,0.972755373,0.159409508,-0.405825943,-0.34727627,0.161074787,0,0,2
-0.255600154,0.387960374,0.217542604,-0.292289674,0.046570178,0.005637769,0,0,0
-0.244150966,1.256488919,-0.607687712,-0.377290428,-0.133515969,-0.1222689,0,0,2
0.00443449,0.101475775,0.046847284,-0.104589753,0.086331688,-0.04238452,0,0,2
-0.446750969,1.09195292,0.003096804,0.020624371,-0.468382865,-0.128028587,0,0,0
-0.01392212,1.430822849,-0.698040605,0.429686368,0.014014728,0.117913589,0,0,3
0.016731644,0.135167539,0.244812533,-0.05873429,0.126273245,0.049397714,0,0,2
-0.007518387,1.419134617,-0.76155138,0.365055889,0.00871877,0.172502786,0,0,3
-0.290212214,0.555912077,0.495252997,-0.469681174,-0.004549021,0.029721573,0,0,1
-0.085511684,0.06023198,0.186315581,-0.133359522,0.062089592,-0.007562578,0,0,2
-0.031218339,-0.000653341,-9.9e-07,-1.76e-09,-0.000608273,3.51e-07,1,1,0
0.007469273,0.008343897,0.022974176,-0.012041603,0.002351981,0.032440439,0,0,0
-0.054716397,0.365775853,0.198838696,-0.260040939,0.153441936,0.039362736,0,0,2
-0.348716974,0.860613465,0.228269488,-0.509748042,-0.121973336,0.111885212,0,0,2
-0.186656281,1.064067125,-0.645813346,-0.439004898,-0.082724005,-0.113919392,0,0,2
0.033277132,9.56e-06,-0.035832185,-0.038522322,-0.007072474,-0.019646246,0,0,0
0.010494995,-0.000504353,0.003378316,4.85e-06,0.002852337,1.19e-06,1,1,3
-0.293627322,1.337562799,-0.369242519,-0.1516902,-0.29620862,-0.176766783,0,0,2
-0.189895436,0.678499043,0.234743312,-0.481107086,-0.01276066,0.080211446,0,0,2
-0.070121668,0.276378185,0.27712065,-0.298651159,0.070063427,0.046725459,0,0,2
-0.076991461,0.057371747,0.111408651,-0.04968648,0.069121458,-0.019460529,0,0,2
-0.147957608,0.534890056,0.328112543,-0.431372792,0.01758641,0.051656872,0,0,2
-0.213005826,1.157160044,-0.361131608,-0.110958688,-0.256569415,-0.218755484,0,0,2
0.054673385,0.131821066,0.043695308,0.031475164,0.17183426,0.04871738,0,0,0
-0.32150659,0.586075246,0.275980443,-0.34007296,0.024190702,0.023170894,0,0,0
-0.221226364,0.325651288,0.299794614,-0.392607868,0.038165543,0.005372405,0,0,2
-0.360536903,0.684036255,0.280308306,-0.333397835,0.066948652,0.0393144,0,0,2
-0.178593248,0.05154613,0.072073124,-0.114577211,-0.000907244,-0.009393499,0,0,2
-0.366285175,1.070707679,-0.447693497,-0.03225239,-0.230220795,-0.127594918,0,0,2
0.010164929,-0.000504568,0.004578248,3.1e-06,0.002850296,7.21e-07,1,1,3
-0.423770338,1.078590155,-0.279654771,0.031528167,-0.350896835,-0.157176375,0,0,2
-0.044941999,0.006604073,0.022849252,0.000343438,0.001675164,0.029713869,0,0,0
0.011509513,0.005138478,0.02398142,-0.036589261,0.007208289,0.027053153,0,0,2
0.000609779,0.015293679,0.053096659,-0.021348191,0.086323395,-0.031158451,0,0,2
-0.145745471,0.586960673,0.362850338,-0.427877426,0.051224351,0.096242294,0,0,2
-0.236271232,0.847795904,0.328249156,-0.566797912,-0.113622576,0.198532209,0,0,2
-0.323153555,1.302778721,-0.340774536,0.01416939,-0.358342111,-0.23936303,0,0,2
-0.295895398,1.279751182,-0.469024271,-0.130896062,-0.26298216,-0.178210452,0,0,2
0.00635109,0.037853204,-0.198527843,-0.133802712,0.047845021,-0.130839616,0,0,2
-0.145533174,1.452825904,-0.707560003,-0.160307318,-0.035294786,-0.108554028,0,0,0
-0.098651126,0.078292258,0.187153667,-0.144512266,0.062489063,0.012399143,0,0,2
0.044118308,0.024212919,-0.028454822,-0.089379109,0.088404439,-0.137607187,0,0,2
-0.063653372,0.040980659,0.04677796,-0.068035461,0.013469736,-0.038165577,0,0,2
-0.016624641,0.226940572,0.101275347,-0.269017905,0.056198884,-0.080022305,0,0,2
-0.34808889,1.073639512,-0.473464578,-0.071460165,-0.206990033,-0.107244089,0,0,2
-0.134890169,0.492664307,0.268135816,-0.381277144,0.051639676,0.011343241,0,0,2
-0.151896387,1.423269749,-0.684580743,-0.241217554,-0.050153669,-0.192849368,0,0,1
-0.142118365,-4.59e-05,0.003590008,-4.88e-06,0.000735955,3.85e-05,1,1,0
-0.355430067,0.893847108,0.191410571,-0.455316901,-0.141166195,0.176858142,0,0,3
-0.340641737,1.191797137,0.112184957,-0.388584644,-0.358212322,0.246745586,0,0,3
-0.417715877,1.077109098,-0.310106426,0.05724217,-0.334464103,-0.171479076,0,0,0
-0.090827659,0.347963989,0.235386282,-0.325339526,0.062151734,0.050442152,0,0,0
-0.221499592,0.67000854,0.361296922,-0.544763923,-0.024827998,0.098212965,0,0,2
-0.133876994,0.136218891,0.198524222,-0.159532234,0.061741624,-0.020121079,0,0,2
-0.428729117,1.080203056,-0.241136715,0.020806758,-0.365236819,-0.143399596,0,0,2
0.015552235,0.081716329,0.155807838,-0.114030428,0.074100651,0.021329377,0,0,2
0.048315905,0.082769334,0.060103796,0.002542466,0.125852466,0.00328928,0,0,2
-0.280944049,0.463075757,0.251228631,-0.284588873,0.06350407,-0.015192469,0,0,0
-0.335472256,1.275475502,-0.168357342,0.00820706,-0.355983764,-0.109383956,0,0,0
-0.44571656,1.090470314,-0.099329881,0.004277966,-0.447761565,-0.155854017,0,0,2
0.009688472,0.092074022,0.157314509,-0.110462427,0.072563857,0.011872912,0,0,2
-0.43110314,1.243281007,-0.19999519,0.020842617,-0.416506469,-0.16698949,0,0,2
0.030087376,0.000967715,-0.108843282,0.028832419,0.009622601,0.131921023,0,0,3
0.009904099,1.37e-05,-0.016940098,-0.036187056,-0.003798689,0.127773821,1,0,2
-0.160466284,0.625363529,0.356257021,-0.41216132,0.032361683,0.084530845,0,0,0
-0.031307697,0.134458855,0.106749617,-0.064463153,0.056741316,-0.008660526,0,0,0
0.009441376,0.05246545,-0.015450418,-0.061561737,0.022661192,-0.085634448,0,0,2
-0.391576767,0.832661688,0.152182475,-0.329880893,-0.087477252,0.172022671,0,0,2
0.01046257,-0.000504496,0.005334991,6.81e-07,0.002850292,1.64e-07,1,1,0
-0.086670116,0.219770417,0.253062069,-0.115356334,0.091149546,0.017611755,0,0,0
0.043150615,0.129538611,0.1336983,-0.000151191,0.150063649,0.034497391,0,0,0
-0.052066136,-0.001319602,0.106355309,-0.02247816,-0.001520293,0.079015508,1,0,2
-0.184160039,0.066760264,0.104099214,-0.087100059,0.013001593,-0.034796745,0,0,0
-0.192940906,1.054583788,-0.623543739,-0.421756387,-0.087607533,-0.097670577,0,0,2
0.010529518,0.023051128,0.025715619,-0.063687816,-0.016198702,-0.014784619,0,0,2
-0.422778517,0.963698983,0.161644191,-0.400828212,-0.339904368,0.147437766,0,0,2
-0.102762505,1.448595285,-0.707334399,-0.054024961,0.004147893,-0.102355577,0,0,0
0.009562492,-0.000303295,1.32e-08,1.88e-09,0.000406239,2.15e-08,1,1,0
0.017035197,-0.000737777,-0.000326142,6.4e-07,-0.003670619,9.55e-05,1,1,0
-0.216392562,0.751322806,0.353322148,-0.53411299,-0.04195226,0.092787206,0,0,2
-0.088442229,1.450420856,-0.716146469,-0.000405302,0.012621524,-0.067159846,0,0,0
0.017038632,-0.000737848,0.004671808,-6.36e-07,-0.00367436,-1.6e-07,1,1,0
-0.005558205,0.138180837,0.155194134,-0.170334801,0.076498777,-0.016925592,0,0,2
0.032802772,-0.00107384,0.003745898,0.005114505,0.001447587,-0.019232038,1,1,0
-0.35028705,1.265835047,0.039947569,-0.243023261,-0.462721646,0.258004576,0,0,3
-0.342067808,0.827792346,0.210666493,-0.490616798,-0.10685797,0.11839141,0,0,2
-0.180719852,0.058908686,0.077883296,-0.066117838,0.003211099,-0.058548313,0,0,0
0.019034481,0.054975353,0.040573824,-0.048276164,0.021587884,-0.008623337,0,0,2
-0.032834433,0.128282264,0.210130066,-0.146363527,0.065387949,0.010788208,0,0,2
-0.433284432,1.08238709,-0.214000702,0.059706967,-0.381131798,-0.1673062,0,0,0
0.009923553,0.032021366,-0.017573554,-0.038439177,0.0025444,0.032903872,0,0,3
-0.300995767,1.257514119,0.018901294,0.019025331,-0.584070444,-0.197263598,0,0,1
-0.229538351,0.405589581,0.340245306,-0.44635421,0.015923124,0.031151686,0,0,2
-0.115142345,0.096337229,0.245034844,-0.090106897,0.080684431,0.031829379,0,0,0
-0.123351194,0.118753202,0.295667142,-0.231295034,0.061917175,0.00929892,0,0,2
